Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2016,JAPAN STEEL WORKS LIMITED (THE),Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-1.79%,-27.73%,"(3,42,86,876)","(2,46,49,548)","(6,577)","(3,23,154)","(75,312)","(1,075)","(1,722)","(92,30,308)",822,0%
2016,LINCOLN ELECTRIC HOLDINGS INCORPORATED,United States,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-1.29%,-8.43%,"(2,92,29,728)","(2,53,37,458)","(5,277)","(2,96,101)","(67,120)",(969),"(10,10,522)","(25,13,272)",991,17%
2016,KONE OYJ,Finland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.28%,-1.95%,"(2,61,76,921)","(2,33,07,288)","(6,349)","(1,74,372)","(33,118)","(1,254)","(23,91,833)","(2,81,686)","18,980 ",38%
2016,"THK CO.,LTD. ",Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-1.11%,-11.52%,"(2,28,85,977)","(1,67,34,978)","(4,000)","(2,22,055)","(51,871)",(726),"(1,855)","(58,71,377)",885,24%
2016,KURITA WATER INDUSTRIES LIMITED,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-1.19%,-12.92%,"(2,19,60,176)","(2,13,37,855)","(5,015)","(2,84,540)","(66,077)",(912),"(1,653)","(2,64,913)",789,1%
2016,SCHINDLER HOLDING AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.23%,-2.09%,"(2,14,94,157)","(2,07,88,706)","(5,094)","(2,80,028)","(64,348)",(916),"(2,457)","(3,54,166)","1,558 ",3%
2016,WEIR GROUP PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.87%,-10.68%,"(1,99,38,099)","(1,60,42,412)","(3,961)","(1,94,624)","(44,364)",(718),"(2,32,645)","(34,22,289)","2,915 ",22%
2016,ATLAS COPCO AB,Sweden,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.18%,-0.92%,"(1,95,61,100)","(1,81,51,281)","(4,836)","(1,62,830)","(32,572)",(925),"(9,70,618)","(2,49,598)","11,561 ",28%
2016,METSO OYJ,Finland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.67%,-8.24%,"(1,81,77,109)","(1,63,16,546)","(4,031)","(1,77,083)","(39,231)",(763),"(7,04,129)","(9,40,912)","5,587 ",16%
2016,TON YI INDUSTRIAL CORPORATION,Taiwan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-1.77%,-30.82%,"(1,78,99,771)","(1,75,12,817)","(4,302)","(2,32,401)","(53,880)",(774),"(2,234)","(94,743)","1,380 ",1%
2016,SUMITOMO HEAVY INDUSTRIES LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.29%,-4.03%,"(1,74,65,432)","(1,65,76,571)","(3,576)","(2,32,051)","(48,723)",(665),"(5,405)","(5,98,760)",319,2%
2016,HEIDELBERGER DRUCKMASCHINEN AG,Germany,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.56%,-9.38%,"(1,48,62,682)","(1,34,41,947)","(2,993)","(1,48,602)","(34,048)",(523),"(10,40,093)","(1,95,408)",930,24%
2016,HIWIN TECHNOLOGIES CORP.,Taiwan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-2.40%,-26.64%,"(1,19,37,126)","(1,08,67,558)","(2,472)","(1,43,908)","(33,600)",(451),"(1,099)","(8,88,068)",31,1%
2016,IMI PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.53%,-4.31%,"(1,07,97,257)","(74,67,577)","(1,969)","(82,571)","(18,228)",(356),"(2,07,942)","(30,21,220)","2,605 ",37%
2016,DAETWYLER HOLDING AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.90%,-8.34%,"(1,07,80,334)","(97,09,535)","(2,258)","(1,29,930)","(30,164)",(410),(310),"(9,07,924)",197,0%
2016,KONECRANES ABP,Finland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.40%,-7.71%,"(90,19,647)","(82,43,320)","(2,131)","(76,931)","(16,164)",(412),"(5,76,809)","(1,08,458)","4,577 ",26%
2016,SULZER AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.30%,-7.44%,"(85,10,602)","(82,58,305)","(1,978)","(1,11,716)","(25,487)",(357),(735),"(1,12,490)",466,1%
2016,DEUTZ AKTIENGESELLSCHAFT,Germany,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.63%,-47.52%,"(83,23,539)","(71,41,732)","(1,592)","(79,845)","(18,322)",(279),"(5,21,844)","(5,60,392)",467,27%
2016,"CORTICEIRA AMORIM,SOCIEDADE GESTORA DE PARTICIPACOES SOCIAIS,S.A. ",Portugal,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-1.21%,-8.73%,"(82,15,321)","(68,78,959)","(1,519)","(86,240)","(19,831)",(278),"(2,87,837)","(9,40,918)",260,9%
2016,MAKITA CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.20%,-1.32%,"(73,05,829)","(70,91,332)","(1,628)","(94,350)","(21,146)",(287),"(3,267)","(93,787)",(31),5%
2016,NORITAKE CO LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.74%,-23.57%,"(69,67,269)","(66,04,539)","(1,580)","(88,223)","(20,360)",(287),(846),"(2,51,837)",403,1%
2016,NABTESCO CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.31%,-3.24%,"(65,16,507)","(62,87,186)","(1,600)","(83,964)","(19,159)",(290),"(1,887)","(1,23,322)",900,4%
2016,RIETER HOLDING AG,Switzerland,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.65%,-19.07%,"(60,04,031)","(57,27,983)","(1,374)","(76,558)","(17,727)",(244),(241),"(1,80,057)",153,0%
2016,OSG CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.66%,-3.84%,"(60,02,575)","(58,72,129)","(1,410)","(78,468)","(18,085)",(256),(814),"(31,801)",388,1%
2016,AMADA HOLDINGS CO LTD,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.21%,-1.53%,"(55,68,724)","(53,54,367)","(1,417)","(72,280)","(16,049)",(257),"(2,345)","(1,23,130)","1,119 ",3%
2016,SPIRAX-SARCO ENGINEERING PLC,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.57%,-2.46%,"(53,17,297)","(37,80,181)",(985),"(42,584)","(9,464)",(178),"(95,509)","(13,89,593)","1,197 ",34%
2016,EBARA CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.10%,-1.27%,"(41,40,586)","(38,28,487)","(1,214)","(50,616)","(11,201)",(217),"(3,750)","(2,46,889)","1,789 ",10%
2016,DAIFUKU COMPANY LIMITED,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.14%,-2.30%,"(41,36,135)","(39,03,168)",(876),"(52,575)","(11,496)",(162),"(2,593)","(1,65,480)",215,0
2016,KOMORI CORPORATION,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.30%,-4.39%,"(24,87,553)","(23,88,932)",(549),"(31,923)","(7,249)",(100),(735),"(58,132)",67,3%
2016,GLORY LIMITED,Japan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.11%,-1.18%,"(20,76,475)","(20,16,609)",(421),"(27,116)","(5,826)",(78),"(1,750)","(24,647)",(26),10%
2016,ROTORK P.L.C.,United Kingdom,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.28%,-1.79%,"(20,63,028)","(19,26,646)",(534),"(19,632)","(4,198)",(96),"(74,410)","(38,444)",932,17%
2016,KING SLIDE WORKS CO LTD,Taiwan,"Manufacture of fabricated metal products,except machinery and equipment (28) ",-0.62%,-1.36%,"(8,50,219)","(8,31,917)",(214),"(11,010)","(2,476)",(37),(305),"(4,354)",93,0%
2016,"MOHAWK INDUSTRIES,INC. ",United States,Manufacture of furniture; manufacturing n.e.c. (36),-3.68%,-24.77%,"(32,96,10,732)","(29,18,66,770)","(83,754)","(38,46,686)","(8,62,325)","(15,841)","(4,87,220)","(3,25,68,167)","1,20,032 ",6%
2016,NIEN MADE ENTERPRISE CO LTD,Taiwan,Manufacture of furniture; manufacturing n.e.c. (36),-2.03%,-8.21%,"(1,18,18,104)","(1,10,43,149)","(2,579)","(1,47,186)","(34,031)",(470),(720),"(5,90,385)",416,0%
2016,DFS FURNITURE PLC,United Kingdom,Manufacture of furniture; manufacturing n.e.c. (36),-0.52%,-5.24%,"(48,71,156)","(21,06,777)","(1,099)","(28,510)","(5,967)",(198),"(3,784)","(27,28,038)","3,217 ",34%
2016,BOSCH LIMITED,India,Manufacture of machinery and equipment n.e.c. (29),-27.44%,-195.53%,"(42,87,69,272)","(33,07,48,847)","(78,833)","(43,69,638)","(10,21,486)","(14,282)","(5,07,899)","(9,20,44,681)","16,394 ",1%
2016,CONTINENTAL AG,Germany,Manufacture of machinery and equipment n.e.c. (29),-0.91%,-8.93%,"(38,98,18,893)","(35,17,01,821)","(81,015)","(45,98,305)","(10,47,405)","(14,742)","(44,38,864)","(2,79,53,389)","16,648 ",3%
2016,FULLSHARE HOLDINGS LTD,Hong Kong,Manufacture of machinery and equipment n.e.c. (29),-53.15%,-1739.48%,"(38,49,76,595)","(37,61,39,496)","(85,939)","(49,98,170)","(11,71,753)","(15,641)","(34,048)","(25,31,420)",(129),0%
2016,NEMAK SAB DE CV,Mexico,Manufacture of machinery and equipment n.e.c. (29),-6.22%,-55.10%,"(23,91,28,757)","(18,48,41,486)","(33,895)","(18,66,424)","(4,33,640)","(6,412)","(1,56,92,055)","(3,62,55,747)",902,29%
2016,MITSUBISHI ELECTRIC CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.51%,-7.24%,"(19,22,73,108)","(14,44,35,654)","(32,777)","(19,32,831)","(4,46,355)","(5,983)","(31,980)","(4,53,88,078)",550,24%
2016,AISIN SEIKI CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.63%,-11.62%,"(17,58,23,509)","(13,97,87,505)","(33,826)","(18,69,827)","(4,32,262)","(6,095)","(23,602)","(3,36,78,724)","8,334 ",17%
2016,SUMITOMO ELECTRIC INDUSTRIES LIMITED,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.64%,-13.05%,"(16,04,45,704)","(15,42,78,026)","(38,117)","(20,71,240)","(4,78,446)","(6,961)","(21,346)","(35,67,650)","16,082 ",1%
2016,VISTEON CORPORATION,United States,Manufacture of machinery and equipment n.e.c. (29),-4.89%,-64.19%,"(15,47,04,528)","(39,10,562)","(1,312)","(54,385)","(11,181)",(239),"(26,397)","(15,07,02,881)","2,429 ",0%
2016,BHARAT HEAVY ELECTRICALS LIMITED,India,Manufacture of machinery and equipment n.e.c. (29),-3.18%,N/A,"(12,35,67,085)","(5,48,42,625)","(23,459)","(5,77,277)","(1,35,049)","(2,789)","(12,61,067)","(6,67,36,464)","11,644 ",1%
2016,NOK CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-1.73%,-26.69%,"(11,04,20,950)","(10,72,70,522)","(23,412)","(15,26,948)","(3,19,073)","(4,334)","(5,430)","(12,73,148)","1,917 ",1%
2016,VALEO SA,France,Manufacture of machinery and equipment n.e.c. (29),-0.61%,-7.98%,"(10,71,96,854)","(9,68,69,506)","(22,404)","(13,22,666)","(2,95,254)","(4,083)","(13,462)","(86,73,067)","3,588 ",0%
2016,TOYOTA INDUSTRIES CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.51%,-8.95%,"(9,81,80,510)","(9,31,50,390)","(21,872)","(12,69,568)","(2,84,159)","(3,952)","(16,221)","(34,38,180)","3,833 ",0%
2016,KEIHIN CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-3.09%,-67.34%,"(9,05,57,640)","(8,51,99,715)","(19,680)","(11,34,279)","(2,65,276)","(3,575)","(2,486)","(39,33,506)",878,4%
2016,FAURECIA SE,France,Manufacture of machinery and equipment n.e.c. (29),-0.40%,-7.57%,"(7,91,38,628)","(7,43,03,113)","(17,759)","(10,24,269)","(2,24,843)","(3,245)","(15,248)","(35,56,666)","6,515 ",3%
2016,GESTAMP AUTOMOCION SA,Spain,Manufacture of machinery and equipment n.e.c. (29),-0.98%,-22.28%,"(7,78,24,905)","(6,40,71,146)","(14,744)","(8,20,017)","(1,88,762)","(2,716)","(12,22,008)","(1,15,10,207)","4,696 ",8%
2016,CNH INDUSTRIAL NV,United Kingdom,Manufacture of machinery and equipment n.e.c. (29),-0.29%,-5.66%,"(7,40,24,729)","(6,68,36,118)","(13,436)","(7,45,564)","(1,58,739)","(2,499)","(22,66,567)","(40,08,040)","6,233 ",27%
2016,KUBOTA CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.53%,-4.49%,"(7,28,13,125)","(7,17,87,403)","(16,945)","(9,71,434)","(2,20,909)","(3,098)","(11,616)","1,94,178 ","4,101 ",2%
2016,FRENI BREMBO SPA,Italy,Manufacture of machinery and equipment n.e.c. (29),-2.75%,-21.66%,"(6,62,40,443)","(5,44,42,466)","(12,930)","(7,10,872)","(1,65,381)","(2,341)","(2,13,513)","(1,06,96,106)","3,166 ",3%
2016,TOYODA GOSEI CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.87%,-15.88%,"(5,82,98,171)","(5,63,22,660)","(13,276)","(7,60,062)","(1,74,103)","(2,438)","(5,690)","(10,23,214)","3,271 ",0%
2016,COMPAGNIE PLASTIC OMNIUM,France,Manufacture of machinery and equipment n.e.c. (29),-0.88%,-10.88%,"(5,42,32,289)","(5,15,06,603)","(11,438)","(7,33,081)","(1,52,982)","(2,119)","(4,773)","(18,23,334)","2,040 ",1%
2016,DANA INC,United States,Manufacture of machinery and equipment n.e.c. (29),-0.78%,-10.54%,"(4,53,08,650)","(3,99,46,740)","(9,905)","(5,35,656)","(1,22,691)","(1,803)","(48,652)","(46,47,681)","4,478 ",2%
2016,"STANLEY ELECTRIC CO,LTD. ",Japan,Manufacture of machinery and equipment n.e.c. (29),-1.26%,-13.89%,"(4,37,74,814)","(4,22,73,906)","(9,899)","(5,63,591)","(1,31,360)","(1,794)","(2,941)","(7,92,361)","1,039 ",1%
2016,BORGWARNER INC.,United States,Manufacture of machinery and equipment n.e.c. (29),-0.44%,-3.55%,"(3,96,13,237)","(3,59,75,057)","(9,425)","(4,85,273)","(1,09,267)","(1,716)","(75,752)","(29,63,718)","6,972 ",3%
2016,TOYOTA BOSHOKU CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.27%,-6.52%,"(3,29,62,716)","(3,16,16,549)","(7,950)","(4,30,946)","(96,147)","(1,425)","(10,303)","(8,03,033)","3,638 ",4%
2016,CIR COMPAGNIE INDUSTRIALI RIUNITE SPA,Italy,Manufacture of machinery and equipment n.e.c. (29),-1.14%,-22.66%,"(3,14,20,999)","(2,20,69,841)","(5,091)","(2,76,221)","(64,120)",(926),"(2,45,513)","(87,60,746)","1,459 ",5%
2016,NHK SPRING CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.56%,-10.29%,"(3,09,07,445)","(3,01,88,543)","(7,022)","(4,02,274)","(93,351)","(1,259)","(4,661)","(2,10,465)",130,1%
2016,MUSASHI SEIMITSU INDUSTRY CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-2.15%,-26.43%,"(3,03,53,212)","(2,80,61,485)","(6,512)","(3,73,762)","(87,314)","(1,182)","(1,196)","(18,22,183)",422,5%
2016,HANON SYSTEMS,South Korea,Manufacture of machinery and equipment n.e.c. (29),-0.56%,-7.62%,"(2,67,46,894)","(2,56,25,797)","(7,382)","(3,30,702)","(76,840)","(1,184)","(34,006)","(6,73,793)","2,809 ",4%
2016,LEONI AG,Germany,Manufacture of machinery and equipment n.e.c. (29),-0.56%,-17.47%,"(2,63,37,205)","(2,46,25,286)","(5,800)","(3,12,266)","(72,385)","(1,049)","(4,85,087)","(8,37,150)","1,819 ",8%
2016,MANDO CORP,South Korea,Manufacture of machinery and equipment n.e.c. (29),-0.53%,-10.18%,"(2,56,98,199)","(1,19,78,346)","(4,304)","(1,48,907)","(34,199)",(619),"(34,976)","(1,34,99,736)","2,889 ",48%
2016,DOOSAN HEAVY INDUSTRIES CONSTRUCTION CO LTD,South Korea,Manufacture of machinery and equipment n.e.c. (29),-0.22%,-5.28%,"(2,54,77,594)","(2,81,54,073)","(10,186)","(3,47,158)","(80,718)","(1,462)","(82,830)","31,91,990 ","6,843 ",9%
2016,NGK SPARK PLUG CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.71%,-4.13%,"(2,33,89,307)","(2,24,49,799)","(5,354)","(2,99,867)","(69,571)",(967),"(2,789)","(5,61,945)",985,1%
2016,SOGEFI SPA,Italy,Manufacture of machinery and equipment n.e.c. (29),-1.22%,-17.83%,"(2,02,45,949)","(1,62,97,775)","(3,753)","(2,06,364)","(47,997)",(683),"(1,47,466)","(35,42,787)",876,4%
2016,SEBANG GLOBAL BATTERY CO LTD,South Korea,Manufacture of machinery and equipment n.e.c. (29),-1.94%,-25.02%,"(1,54,46,562)","(1,29,58,063)","(3,219)","(1,70,636)","(39,889)",(559),"(5,722)","(22,68,946)",473,13%
2016,ELRINGKLINGER AG,Germany,Manufacture of machinery and equipment n.e.c. (29),-0.72%,-9.62%,"(1,18,55,512)","(1,13,55,532)","(2,656)","(1,45,668)","(33,862)",(481),"(1,70,490)","(1,47,463)",639,4%
2016,GENTEX CORPORATION,United States,Manufacture of machinery and equipment n.e.c. (29),-0.70%,-2.30%,"(1,17,91,439)","(98,25,622)","(2,477)","(1,31,389)","(30,180)",(451),"(14,021)","(17,88,589)","1,290 ",3%
2016,NISSIN ELECTRIC CO LTD,Japan,Manufacture of machinery and equipment n.e.c. (29),-0.79%,-7.27%,"(77,37,597)","(64,40,918)","(1,538)","(86,045)","(19,956)",(278),(827),"(11,88,327)",292,14%
2016,MELROSE INDUSTRIES PLC,United Kingdom,Manufacture of machinery and equipment n.e.c. (29),-0.36%,-6.91%,"(39,10,589)","(25,35,278)",(743),"(25,924)","(5,589)",(126),"(1,08,575)","(12,35,501)","1,149 ",42%
2016,KIAN SHEN CORPORATION,Taiwan,Manufacture of machinery and equipment n.e.c. (29),-10.39%,-760.39%,"(38,32,351)","(37,49,282)",(863),"(49,818)","(11,667)",(157),(69),"(20,516)",21,0%
2016,NORDEX SE,Germany,Manufacture of machinery and equipment n.e.c. (29),-0.06%,-1.36%,"(23,00,932)","(19,09,095)",(566),"(13,713)","(2,583)",(98),"(3,71,647)","(4,624)","1,394 ",46%
2016,"HOTA INDUSTRIAL MFG CO.,LTD. ",Taiwan,Manufacture of machinery and equipment n.e.c. (29),-1.18%,-4.79%,"(21,04,979)","(20,59,589)",(497),"(27,170)","(6,308)",(89),(336),"(11,092)",100,0%
2016,AD PLASTIK DD,Croatia,Manufacture of machinery and equipment n.e.c. (29),-1.35%,-22.88%,"(17,25,079)","(16,43,993)",(337),"(18,260)","(4,192)",(61),"(26,104)","(32,196)",65,19%
2016,NOVARTIS AG,Switzerland,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.58%,-3.17%,"(28,78,93,952)","(17,25,34,098)","(39,685)","(22,61,097)","(5,24,058)","(7,273)","(8,84,292)","(11,16,49,962)","6,514 ",0
2016,"MERCK & CO.,INC. ",United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.53%,-2.01%,"(21,04,22,746)","(16,56,46,990)","(36,971)","(20,44,679)","(4,72,944)","(6,790)","(1,16,614)","(4,21,06,170)","8,411 ",8%
2016,ELI LILLY AND COMPANY,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.99%,-5.41%,"(20,95,24,119)","(16,78,45,277)","(41,946)","(21,91,047)","(4,97,746)","(7,778)","(62,170)","(3,89,08,088)","29,932 ",1%
2016,JOHNSON & JOHNSON,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.27%,-0.92%,"(19,37,21,111)","(16,26,34,493)","(32,025)","(19,35,479)","(4,17,132)","(5,925)","(2,10,604)","(2,84,85,875)",422,19%
2016,GLAXOSMITHKLINE PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.54%,-2.14%,"(18,56,29,966)","(17,29,58,074)","(45,965)","(22,42,967)","(5,15,599)","(8,367)","(7,81,980)","(91,16,069)","39,054 ",3%
2016,ABBOTT LABORATORIES,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.73%,-4.72%,"(15,18,74,006)","(12,03,03,877)","(27,239)","(15,38,608)","(3,49,318)","(5,005)","(61,089)","(2,95,95,854)","6,983 ",6%
2016,SHANGHAI FOSUN PHARMACEUTICAL (GROUP) COMPANY LIMITED,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-6.64%,-59.10%,"(13,86,96,781)","(7,75,66,614)","(22,065)","(10,26,661)","(2,38,582)","(3,763)","(16,688)","(5,98,36,245)","13,837 ",0%
2016,JUBILANT LIFE SCIENCES LIMITED,India,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-15.59%,-96.18%,"(13,32,26,517)","(10,08,22,758)","(25,722)","(13,04,421)","(3,04,431)","(4,435)","(1,82,506)","(3,05,89,551)","7,306 ",2%
2016,ROCHE HOLDING AKTIENGESELLSCHAFT,Switzerland,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.22%,-0.73%,"(10,75,10,372)","(8,39,54,851)","(19,350)","(10,72,207)","(2,49,014)","(3,566)","(9,01,384)","(2,13,15,506)","5,507 ",5%
2016,MYLAN NV,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.89%,-5.03%,"(9,82,28,392)","(8,79,63,376)","(21,976)","(11,48,359)","(2,60,910)","(4,074)","(32,450)","(88,12,870)","15,623 ",1%
2016,OTSUKA HOLDINGS COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.87%,-12.69%,"(8,92,71,261)","(8,72,51,172)","(21,385)","(11,63,284)","(2,70,569)","(3,827)","(3,993)","(5,62,418)","5,386 ",2%
2016,MERCK KGAA,Germany,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.53%,-3.86%,"(8,39,38,796)","(7,88,52,296)","(18,936)","(10,47,700)","(2,42,044)","(3,451)","(10,169)","(37,69,972)","5,771 ",1%
2016,ASTRAZENECA PLC,United Kingdom,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.30%,-1.79%,"(7,01,05,536)","(6,61,37,721)","(18,291)","(8,52,082)","(1,94,323)","(3,331)","(3,88,083)","(25,31,087)","19,382 ",4%
2016,BRISTOL-MYERS SQUIBB COMPANY,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.27%,-1.13%,"(5,23,40,821)","(4,28,87,146)","(13,069)","(5,32,634)","(1,10,284)","(2,510)","(56,911)","(87,65,667)","27,400 ",2%
2016,HOYA CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.11%,-4.92%,"(4,83,06,538)","(4,56,64,480)","(11,048)","(6,08,537)","(1,41,756)","(1,983)","(1,689)","(18,79,322)","2,278 ",2%
2016,KYOWA HAKKO KIRIN COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.50%,-16.27%,"(4,41,39,376)","(4,10,48,773)","(9,363)","(5,57,502)","(1,26,173)","(1,713)","(1,146)","(23,95,494)",787,0%
2016,TAKEDA PHARMACEUTICAL COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.28%,-3.83%,"(4,31,44,429)","(3,94,09,168)","(9,412)","(5,28,858)","(1,21,633)","(1,719)","(6,037)","(30,70,219)","2,617 ",1%
2016,BECTON DICKINSON AND CO,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.31%,-1.82%,"(3,85,90,632)","(2,39,24,389)","(7,761)","(2,81,398)","(61,392)","(1,486)","(36,569)","(1,42,95,243)","17,606 ",4%
2016,DR.REDDY'S LABORATORIES LTD,India,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.62%,-8.65%,"(3,68,52,747)","(2,84,84,656)","(23,191)","(3,33,152)","(64,467)","(3,821)","(4,86,617)","(75,33,790)","76,948 ",24%
2016,GIANTPLUS TECHNOLOGY CO LTD,Taiwan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-10.18%,-203.55%,"(3,67,36,512)","(3,12,18,148)","(7,139)","(4,11,841)","(96,395)","(1,302)","(2,458)","(49,99,552)",322,1%
2016,CATALENT INC,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.95%,-15.69%,"(3,60,18,880)","(2,56,39,407)","(6,174)","(3,37,404)","(77,715)","(1,136)","(5,414)","(99,54,236)","2,607 ",27%
2016,TERUMO CORPORATION,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.74%,-4.74%,"(3,32,28,308)","(2,88,79,777)","(6,660)","(3,85,770)","(89,660)","(1,217)","(1,754)","(38,64,033)",564,0%
2016,DAIICHI SANKYO COMPANY LIMITED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.35%,-2.66%,"(2,97,11,056)","(2,73,12,448)","(6,436)","(3,66,430)","(84,502)","(1,181)","(3,295)","(19,38,282)","1,517 ",1%
2016,ASTELLAS PHARMA INCORPORATED,Japan,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.25%,-1.29%,"(2,94,68,300)","(2,50,79,105)","(5,864)","(3,34,068)","(77,680)","(1,074)","(4,585)","(39,66,959)","1,035 ",1%
2016,QUEST DIAGNOSTICS INCORPORATED,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.33%,-2.05%,"(2,50,20,133)","(2,42,12,576)","(6,799)","(3,07,416)","(66,429)","(1,288)","(22,015)","(4,14,209)","10,599 ",2%
2016,SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LTD,China,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-2.49%,-13.93%,"(2,41,79,366)","(1,19,58,653)","(2,869)","(1,57,528)","(36,740)",(514),"(7,743)","(1,20,15,836)",517,0%
2016,AVANOS MEDICAL INC,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.45%,-21.91%,"(2,31,56,656)","(1,45,35,367)","(3,591)","(1,90,221)","(43,401)",(664),"(4,665)","(83,80,992)","2,246 ",0%
2016,"WEST PHARMACEUTICAL SERVICES,INC. ",United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.31%,-8.89%,"(1,97,45,595)","(1,62,35,604)","(3,966)","(2,12,996)","(48,803)",(732),"(4,421)","(32,41,201)","2,128 ",0%
2016,RECORDATI SPA,Italy,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-1.53%,-5.21%,"(1,86,79,936)","(42,37,984)",(977),"(56,376)","(13,162)",(178),(259),"(1,43,71,067)",67,0%
2016,KEYSIGHT TECHNOLOGIES INC,United States,"Manufacture of medical,precision and optical instruments,watches and clocks (33) ",-0.56%,-3.89%,"(1,64,56,283)","(92,59,841)","(2,607)","(1,17,483)","(25,352)",(494),"(8,548)","(70,46,073)","4,116 ",1%
